Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
727650,1,0.74,-1.24,43
727850,1,0.72,-2.05,40
728050,1,0.43,-2.3,40
728250,1,0.02,-2.55,41
728450,1,2.23,-3.84,40
728650,1,1.36,-3.84,58
728850,1,1.44,0.06,55
729050,1,1.52,-3.84,50
729250,1,1.49,-3.77,40
729450,1,1.42,-3.73,40
729650,1,0.9,-2.24,67
729850,1,0.65,-1.44,82
730050,1,0.46,-1.15,60
730250,1,0.53,0.06,58
730450,1,0.6,0.07,85
730650,1,0.67,0.01,75
730850,1,0.74,0.31,51
731050,1,0.86,0.1,94
731250,1,0.99,0.29,54
731450,1,0.87,0.19,45
731650,1,0.87,0.13,43
731850,1,0.95,-1.45,40
732050,1,0.83,-2.2,40
732250,1,0.45,-2.48,50
732450,1,0.98,0.1,95
732650,1,1.51,-3.84,49
732850,1,1.31,-3.8,40
733050,1,0.99,-3.72,40
733250,1,0.59,-3.66,100
733450,1,0.2,-3.59,40
733650,1,2.06,-3.84,40
733850,1,1.69,-3.8,40
734050,1,1.75,0.08,74
734250,1,1.8,0.11,88
734450,1,1.86,-3.83,40
734650,1,1.54,-3.79,40
734850,1,1.06,-3.76,52
735050,1,0.68,-3.68,40
735250,1,0.17,-3.64,40
735450,1,2.23,-3.84,40
735650,1,1.61,-3.84,45
735850,1,1.21,-3.76,40
736050,1,1.0,-3.67,40
736250,1,0.59,-3.59,40
736450,1,0.33,-3.52,49
736650,1,2.23,-3.84,40
736850,1,1.76,-3.81,40
737050,1,1.25,-3.79,40
737250,1,0.66,-3.76,40
737450,1,0.67,-2.05,43
737650,1,0.68,0.03,90
737850,1,0.69,0.09,50
738050,1,0.7,0.11,58
738250,1,0.71,0.05,84
738450,1,0.72,0.06,86
738650,1,0.73,0.09,96
738850,1,0.74,-0.23,43
739050,1,0.67,0.09,76
739250,1,0.59,0.08,65
739450,1,0.52,0.0,51
739650,1,1.19,-1.86,40
739850,1,1.02,-1.9,40
740050,1,0.88,-2.31,40
740250,1,0.61,-2.06,46
740450,1,0.24,-2.36,65
740650,1,2.26,-3.84,40
740850,1,1.38,-2.58,82
741050,1,1.28,-3.07,40
741250,1,0.9,-3.3,41
741450,1,0.44,-3.33,40
741650,1,0.7,0.04,54
741850,1,0.95,-1.94,43
742050,1,1.09,-2.89,50
742250,1,0.86,-3.19,40
742450,1,0.56,-3.21,40
742650,1,0.43,-3.24,40
742850,1,0.24,-2.11,43
743050,1,0.16,-1.37,56
743250,1,0.14,-0.88,45
743450,1,0.15,-0.56,44
743650,1,0.18,-0.34,57
743850,1,0.22,-0.19,82
744050,1,0.26,-0.1,65
744250,1,0.3,-0.04,44
744450,1,0.34,-0.01,48
744650,1,0.36,0.0,44
744850,1,0.83,0.03,55
745050,1,1.3,-3.83,40
745250,1,0.93,-3.79,50
745450,1,0.55,-2.94,43
745650,1,0.19,-2.33,46
745850,1,2.23,-3.84,40
746050,1,1.79,-3.82,40
746250,1,1.52,-1.78,52
746450,1,1.31,-2.54,40
746650,1,0.96,-2.24,52
