Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:57.567,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.592,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:57.595,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.601,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.609,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.635,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:57.641,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:57.641,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:57.677,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:57.680,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.688,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:57.713,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:57.723,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:57.723,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.729,0.71,0.12,-9.45,Stationary
